id,status,type,format,label,title,resource_url,role,artist,year,thumb,stats.community.in_wantlist,stats.community.in_collection,main_release,trackinfo,format_category
17669689,Accepted,release,"File, WAV",Oren Ambarchi Archive,Tokyo Knots (Complete Version),https://api.discogs.com/releases/17669689,Main,Oren Ambarchi,2020,,0,1,,,Other
1761333,,master,,,tummypen42,https://api.discogs.com/masters/1761333,Main,Oren Ambarchi / Robbie Avenaim,2020,,3,10,15526091,,CD
2012842,,master,,,Hubris Variation Parts 2 & 3,https://api.discogs.com/masters/2012842,Main,Ricardo Villalobos & Oren Ambarchi,2020,,20,3,17501773,,CD
17002635,Accepted,release,"LP, Album",Family Vineyard,Leone,https://api.discogs.com/releases/17002635,Main,Loren Connors* & Oren Ambarchi,2021,,81,143,,,LP
20576488,Accepted,release,"Cass, Album, Ltd + CDr",Haha (3),Tchatchkes,https://api.discogs.com/releases/20576488,Main,Oren Ambarchi,2021,,24,20,,,CD
20616487,Accepted,release,"File, MP3, 320",Touch,Celeste Confit,https://api.discogs.com/releases/20616487,Main,Oren Ambarchi,2021,,2,10,,,Other
2145796,,master,,,Each Side Has A Depth Of 5 Seconds   A Polka Dot Pattern In Horizontal Array   A Flickering That Moves Vertically = 一辺が5秒の深さ　横に並ぶ水玉模様　上下に移動する点滅,https://api.discogs.com/masters/2145796,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2021,,170,227,18598576,,CD
2005696,,master,,,Gallivant ,https://api.discogs.com/masters/2005696,Main,Crys Cole & Oren Ambarchi,2021,,44,55,17669230,,CD
2419987,,master,,,Live Hubris,https://api.discogs.com/masters/2419987,Main,Oren Ambarchi,2021,,99,242,21247897,,CD
2926528,,master,,,MMXX-16,https://api.discogs.com/masters/2926528,Main,Oren Ambarchi,2021,,32,59,18973108,,CD
29487016,Accepted,release,"File, WAV, Album",Otoroku,1.7.22,https://api.discogs.com/releases/29487016,Main,"Oren Ambarchi, Julia Reidy",2022,,0,0,,,Other
3226135,,master,,,"""Caught In The Dilemma Of Being Made To Choose""  This Makes The Modesty Which Should Never Been Closed Off Itself  Continue To Ask Itself: ""Ready Or Not?"" = 「選ばされてしまう　はめになる」  このことが　もう閉じることが無か",https://api.discogs.com/masters/3226135,Main,"Keiji Haino, Jim O'Rourke, Oren Ambarchi",2022,,140,167,24409715,,CD
2816639,,master,,,ਚੈਨਲKAANALचैनलRÁÐעָרוּץ,https://api.discogs.com/masters/2816639,Main,"Charlemagne Palestine, Oren Ambarchi, Eric Thielemans",2022,,35,51,24737429,,CD
2812079,,master,,,Shebang,https://api.discogs.com/masters/2812079,Main,Oren Ambarchi,2022,,186,435,24675032,,CD
2940382,,master,,,Ghosted,https://api.discogs.com/masters/2940382,Main,Oren Ambarchi / Johan Berthling / Andreas Werliin,2022,,294,524,22857842,,CD
28033470,Accepted,release,"LP, Album, Ltd, Ult",Matière Mémoire,Double Consciousness,https://api.discogs.com/releases/28033470,Main,"Oren Ambarchi, Eric Thielemans",2023,,13,30,,,LP
28568866,Accepted,release,"Cass, Album, Ltd",Matière Mémoire,Double Consciousness,https://api.discogs.com/releases/28568866,Main,"Oren Ambarchi, Eric Thielemans",2023,,1,3,,,Other
3235051,,master,,,Placelessness,https://api.discogs.com/masters/3235051,Main,Chris Abrahams / Oren Ambarchi / Robbie Avenaim,2023,,1,4,28210132,,CD
29462890,Accepted,release,3xLP,"Black Truffle, Medama Records","With Pats On The Head, Just One Too Few Is Evil One Too Many Is Good That's All It Is",https://api.discogs.com/releases/29462890,Main,Keiji Haino / Jim O'Rourke / Oren Ambarchi,2024,,64,55,,,LP
797501,Accepted,release,CD,Trifekta,Experience Makes You Dumb,https://api.discogs.com/releases/797501,Remix,Ukiyo-E,2003,,11,11,,Milton (Oren Ambarchi ...,CD
6101228,Accepted,release,"CD, Album",Silent Recordings,Cook Cut Damage Destroy,https://api.discogs.com/releases/6101228,Remix,Prop,2003,,25,18,,Low Life (Low Remix),CD
60897,,master,,,Heroin + Remixes,https://api.discogs.com/masters/60897,Remix,Stephan Mathieu & Ekkehard Ehlers,2003,,149,135,256594,,CD
2161361,Accepted,release,"2xCD, Comp",Bottrop-Boy,Powerful Friends And Devoted Lovers,https://api.discogs.com/releases/2161361,Remix,TV Pow,2004,,28,32,,"That's Okay, Brush Off...",CD
308096,,master,,,Alter,https://api.discogs.com/masters/308096,Remix,Knut,2006,,48,72,885679,,CD
939973,,master,,,Claws Overhead,https://api.discogs.com/masters/939973,Remix,Warm Ghost,2010,,1,1,8364004,,CD
4159277,Accepted,release,"20xFile, MP3, Mixed",Bruits De Fond,Fugue,https://api.discogs.com/releases/4159277,Remix,Leekid,2012,,3,4,,Black Dalli Rue (Oren ...,Other
6045482,Accepted,release,"12"", EP",Loopy,Speech Spirits,https://api.discogs.com/releases/6045482,Remix,FIS (2),2014,,101,134,,Speech Spirits (&quot;...,Other
1224622,,master,,,The Triad Remix Versions,https://api.discogs.com/masters/1224622,Remix,Pantha Du Prince,2017,,104,92,10708624,,CD
11895875,Accepted,release,"2xLP, RSD, Ltd",Wichita,Waking Up In Another Town: Weather Diaries Remixed,https://api.discogs.com/releases/11895875,Remix,Ride,2018,,221,781,,All I Want (Oren Ambar...,LP
24214037,Accepted,release,"21xFile, WAV, Comp, 16-",Rough Trade,The Triad - Ambient Versions,https://api.discogs.com/releases/24214037,Remix,Pantha Du Prince,2020,,1,4,,"Frau Im Mond, Sterne L...",Other
161139,,master,,,Tomorrow Will Be Like Today,https://api.discogs.com/masters/161139,Producer,Rand And Holland,2003,,5,16,2020140,,CD
60897,,master,,,Heroin,https://api.discogs.com/masters/60897,Producer,"Stephan Mathieu, Ekkehard Ehlers",2003,,70,199,131085,,CD
545325,Accepted,release,"CD, Comp",Spekk,Small Melodies,https://api.discogs.com/releases/545325,Producer,Various,2005,,42,166,,Thirsty Boots,CD
2286,,master,,,Black One,https://api.discogs.com/masters/2286,Mixed by,Sunn O))),2005,,607,611,629101,,CD
999531,Accepted,release,"CD, Album, Ltd, Num",Southern Lord,The Holy Down,https://api.discogs.com/releases/999531,Mixed by,Gravetemple,2007,,93,356,,,CD
1144757,Accepted,release,"10"", Ltd, Pic",Southern Lord,Wvrm,https://api.discogs.com/releases/1144757,Mixed by,Burial Chamber Trio,2007,,117,699,,,Other
6382,,master,,,I'll Be The Same,https://api.discogs.com/masters/6382,Mixed by,Sun,2007,,12,58,1128049,,CD
10090,,master,,,Burial Chamber Trio,https://api.discogs.com/masters/10090,Mixed by,Burial Chamber Trio,2007,,133,446,997640,,CD
12812,,master,,,O))) Presents...,https://api.discogs.com/masters/12812,Mixed by,Pentemple,2008,,57,334,1346993,,CD
544431,,master,,,Ambient / Ruin (Demo 2008),https://api.discogs.com/masters/544431,Mixed by,Gravetemple,2008,,67,65,1403505,,CD
2922871,Accepted,release,"CD, Album",Atavistic,Smoking The Contracts,https://api.discogs.com/releases/2922871,Mixed by,Mani Neumeier,2011,,13,21,,,CD
467762,,master,,,Nazoranai,https://api.discogs.com/masters/467762,Mixed by,Nazoranai,2012,,84,139,3843570,,CD
1249492,,master,,,Solstitium Fulminate,https://api.discogs.com/masters/1249492,Mixed by,Sunn O))),2013,,12,31,10964020,,CD
754621,,master,,,The Most Painful Time Happens Only Once Has It Arrived Already... ? 一番痛い時は一度だけそれは もう 訪れているのかな．．．,https://api.discogs.com/masters/754621,Mixed by,Nazoranai = なぞらない*,2014,,200,310,6193369,,CD
10813272,Accepted,release,"LP, Album, Gat",W.25th,"Beginning To Fall In Line Before Me, So Decorously, The Nature Of All That Must Be Transformed = 変容されるべきものの資質が 礼儀正しく 僕の前に整列しだした",https://api.discogs.com/releases/10813272,Mixed by,Nazoranai = なぞらない*,2017,,171,313,,,LP
20677114,Accepted,release,"LP, Album, Ltd",Black Truffle,ViewFinder / Hide & Seek,https://api.discogs.com/releases/20677114,Mixed by,David Behrman With Jon Gibson (2) & Werner Durand,2021,,81,92,,,LP
387251,Accepted,release,"CD, Album",Dr Jim's Records,Mr Hoo-Ha Visits The Non-Stop Pissing Circus,https://api.discogs.com/releases/387251,Appearance,Phlegm (2),1994,,55,53,,,CD
2646716,,master,,,My Baby Does Good Sculptures,https://api.discogs.com/masters/2646716,Appearance,Various,1997,,42,86,727203,,CD
2146729,Accepted,release,"CD, Comp",Splitrec,Kitchen Sink Live,https://api.discogs.com/releases/2146729,Appearance,Various,1999,,40,16,,Live At Strawberry Hil...,CD
2581197,Accepted,release,"CD, Album",Not On Label (Chrackie Self-released),The Cats Can Read Our Minds,https://api.discogs.com/releases/2581197,Appearance,Chrackie,1999,,8,16,,"Spider, Vampire In Cro...",CD
64234,Accepted,release,"CD, Enh",Mego,Amperase,https://api.discogs.com/releases/64234,Appearance,Gcttcatt,2001,,32,130,,R[stacte],CD
6367,,master,,,Sun,https://api.discogs.com/masters/6367,Appearance,Sun,2001,,14,33,451272,,CD
72956,Accepted,release,"CD, Album",IDEA (2),Cassia Fistula,https://api.discogs.com/releases/72956,Appearance,Brendan Walls,2002,,17,63,,"Section One, Section T...",CD
81371,Accepted,release,"2xCD, Comp, Promo, S/Edition",Wire Magazine,The Wire Tapper 09,https://api.discogs.com/releases/81371,Appearance,Various,2002,,54,723,,Reach For The Sky (Plu...,CD
1206258,,master,,,Hello Stranger,https://api.discogs.com/masters/1206258,Appearance,Darren Hanlon,2002,,11,114,3192079,,CD
304575,Accepted,release,"12""",Textile Records,Sun & Hassle Hound,https://api.discogs.com/releases/304575,Appearance,Sun & Hassle Hound,2003,,34,67,,,Other
325751,Accepted,release,"2xCD, Comp",Touch,Spire: Organ Works Past Present & Future,https://api.discogs.com/releases/325751,Appearance,Various,2003,,68,211,,Remake,CD
399000,Accepted,release,7xCD + DVD-V + Box,Erstwhile Records,AMPLIFY 2002 | Balance,https://api.discogs.com/releases/399000,Appearance,Various,2003,,57,142,,On Preparing For Perfo...,CD
481433,Accepted,release,"2xCD, Comp",Preservation,Motion - Movement In Australian Sound,https://api.discogs.com/releases/481433,Appearance,Various,2003,,38,61,,Stactedit,CD
934325,Accepted,release,CD,"Longbox Recordings, Longbox Recordings",The Empire Builders,https://api.discogs.com/releases/934325,Appearance,Dropp Ensemble,2003,,11,50,,,CD
1073964,Accepted,release,"CD, Album",A Bruit Secret,Compositions For Guitars,https://api.discogs.com/releases/1073964,Appearance,Brett Larner / Taku Sugimoto / Burkhard Stangl,2003,,32,55,,Hum,CD
1729575,Accepted,release,"CD, Album",Quecksilber,8 Guitars,https://api.discogs.com/releases/1729575,Appearance,Scott Horscroft,2003,,7,39,,,CD
4598910,Accepted,release,"2xCD, Comp",Tenzenmen,The Now Now. 2003,https://api.discogs.com/releases/4598910,Appearance,Various,2003,,36,12,,Martin Ng Turntable Or...,CD
90588,,master,,,For The Dead In Space - Volumes II & III,https://api.discogs.com/masters/90588,Appearance,Various,2003,,54,83,905120,,CD
248433,Accepted,release,CD,Cubicfabric,Operette (Opera Remixes),https://api.discogs.com/releases/248433,Appearance,Tape,2004,,32,83,,Summa Afrique,CD
